,x,y,demands
0,523383.3607,10038065.0697,30
1,538368.5789,10038524.3643,30
2,525763.3799,10038218.6401,30
3,538927.2375999996,10039243.9304,30
4,538951.4578999998,10039308.3036,30
5,539035.5477,10039069.7597,100
6,539053.7967999997,10039066.2139,30
7,539089.0917999996,10039401.9548,30
8,539097.0478999997,10038827.0207,30
9,539097.8317,10039082.372,30
10,539105.7593,10039259.6996,30
11,539107.7494,10039086.313,100
12,539118.8590000002,10039046.1192,30
13,539124.0097000003,10039219.9001,30
14,539126.545,10039227.922,30
15,539144.2478999998,10039071.7341,30
16,539147.4181000004,10039163.9444,30
17,539152.5771000003,10039119.0217,100
18,539162.1046000002,10038952.3344,30
19,539162.8935000002,10039073.3111,30
20,539169.2418,10039052.032,30
21,539169.2472,10038909.3821,30
22,539174.4002,10039021.2955,100
23,539174.4006000003,10039011.8381,30
24,539175.9901999999,10038938.9369,30
25,539180.3525999999,10038979.1312,30
26,539184.7177999998,10038942.8778,30
27,539188.688,10038863.6718,30
28,539195.0336999996,10038908.5949,100
29,539195.0334999999,10038915.294,30
30,539197.4151999997,10038876.6761,30
31,539198.2083,10038886.1336,30
32,539199.7774999999,10039352.3074,100
33,539202.1761999996,10038866.4307,30
34,539202.5749000004,10038813.6266,30
35,539219.6249000002,10039047.3052,30
36,539224.7741999999,10039257.7338,100
37,539225.1826999998,10038947.214,100
38,539225.5765000004,10039023.6618,30
39,539227.1654000003,10038971.6459,30
40,539230.7363,10038959.8242,100
41,539232.3239000002,10038939.3331,100
42,539239.4652000004,10038929.8759,30
43,539243.0367999999,10038899.5334,30
44,539246.2023,10039115.8728,30
45,539253.3541000001,10038828.6028,100
46,539256.5190000003,10039060.7047,30
47,539271.2018999998,10038945.2455,30
48,539272.3953999998,10038855.3997,30
49,539272.3969999999,10038814.4173,100
50,539273.1865999997,10038914.5088,30
51,539302.5449,10038880.6207,100
52,539303.3404000001,10038827.8166,30
53,543561.0791999996,10027210.0354,30
54,543563.6023000004,10027431.1556,30
55,543566.7652000003,10027405.4002,30
56,543569.926,10027447.4885,30
57,543580.0475000003,10027351.3769,30
58,543590.1644000001,10027410.4263,30
59,543592.6955000004,10027363.3128,30
60,543593.3247999996,10027466.9628,30
61,543605.9792,10027260.9195,30
62,543607.8761999998,10027270.3422,30
63,543611.0350000001,10027381.5306,30
64,543619.8870000001,10027441.8363,30
65,543627.4764999999,10027426.7602,100
66,543631.2747999998,10027295.4702,100
67,543633.8030000003,10027346.9812,30
68,543640.1276000002,10027330.6487,30
69,543657.8337000003,10027381.532,30
70,543668.5854000002,10027360.1741,100
71,543697.6777999997,10027318.0867,30
72,543710.3263999997,10027309.9207,30
73,543739.4186000004,10027273.487,30
74,543749.5367,10027291.0764,100
75,543759.0234000003,10027274.1158,30
76,543578.9511000002,10027477.4473,100
77,543575.5987999998,10027485.5333,100
78,543571.2888000002,10027493.6193,30
79,543566.0210999995,10027500.754,30
80,543635.4585999995,10027414.1867,30
81,543646.9521000003,10027387.5503,100
82,543623.4885999998,10027363.2912,100
83,543618.2209,10027370.9015,30
84,543653.1788999997,10027332.8501,30
85,543653.6579,10027328.0936,100
86,543654.1370000001,10027319.0561,30
87,543666.1089000003,10027307.1651,30
88,543673.2920000004,10027300.5061,30
89,543678.0807999996,10027295.274,30
90,543684.7850000001,10027290.9933,30
91,543705.8546000002,10027300.0314,100
92,543563.1542999996,10027285.7575,30
93,543591.4071000004,10027287.661,30
94,543271.0412999997,10027544.5056,30
95,543277.1130999997,10027600.128,100
96,543279.6462000003,10027483.2863,30
97,543308.7368,10027500.2481,30
98,543335.2966999998,10027554.2725,100
99,543357.4342,10027453.764,30
100,543365.0201000003,10027558.6706,100
101,543392.2127999999,10027597.6187,30
102,543396.6392999999,10027610.1825,30
103,543408.0230999999,10027602.0165,30
104,543412.4506999999,10027575.6329,100
105,543412.7829999998,10027586.8432,30
106,543413.2625000002,10027562.5847,100
107,543419.0088,10027564.4875,100
108,543420.6728999997,10027550.5059,30
109,543427.1494000005,10027566.3904,100
110,543444.3875000002,10027595.8816,30
111,543447.7407,10027556.4022,30
112,543458.7548000002,10027548.7921,30
113,543468.7364999996,10027549.8792,30
114,543470.6328999996,10027579.4038,100
115,543474.4276999999,10027568.7248,100
116,543482.6542999996,10027390.9495,30
117,543483.6552999998,10027556.4033,100
118,543485.8169,10027373.3605,100
119,543488.9230000004,10027550.6956,30
120,543493.2328000003,10027546.8905,30
121,543497.5427000001,10027543.0853,30
122,543499.4567,10027591.1266,30
123,543501.8513000002,10027582.5649,100
124,543507.1189000001,10027577.3328,100
125,543515.2613000004,10027519.7787,30
126,543525.6534000002,10027565.5854,30
127,543527.7143000001,10027430.8315,30
128,543530.0807999996,10027549.2528,30
129,543531.3476,10027484.5501,30
130,543537.7665999997,10027557.3562,100
131,543540.6426999997,10027460.3225,30
132,543551.5860000001,10027444.9752,100
133,543554.1151999999,10027461.308,100
134,543518.1344999997,10027518.3519,100
135,543530.5851999996,10027507.8878,100
136,543534.8953,10027496.9479,100
137,543539.6840000004,10027491.2401,30
138,543542.0787000004,10027481.2514,30
139,543544.4731,10027475.068,30
140,543547.3464000002,10027471.7385,30
141,543464.0285,10027336.1741,30
142,543330.8669999996,10027647.2433,30
143,543290.1891,10027768.0643,30
144,543327.5426000003,10027690.5335,100
